id,category,method,id_hits,id_total,fixed_hits,fixed_total,false_positives,name_hits,name_total,consistency_violations,consistency_positions,passed,leaked_names,sample_templates,gate_expected_triggered,gate_actual_triggered,gate_match,estimated_cost_usd,call_count
a26_stripe_short_suffix,regex_forms,GET,2,2,4,4,0,2,2,0,1,True,,/billing/charges/{customer_id},,,,,
a27_version_beyond_v20,regex_forms,GET,0,0,6,6,0,0,0,0,0,True,,/api/v21/employees;/api/v99/employees,,,,,
b01_hr_employees_vs_departments,bug1_sibling_resources,POST,0,0,8,8,0,0,0,0,0,True,,/api/v1/hr/departments;/api/v1/hr/employees,,,,,
b02_shop_products_orders_carts,bug1_sibling_resources,GET,0,0,12,12,0,0,0,0,0,True,,/api/v1/shop/carts;/api/v1/shop/orders;/api/v1/shop/products,,,,,
b03_auth_login_logout_register,bug1_sibling_resources,POST,0,0,12,12,0,0,0,0,0,True,,/api/v1/auth/login;/api/v1/auth/logout;/api/v1/auth/register,,,,,
b04_generic_reports_invoices_settings,bug1_sibling_resources,GET,0,0,6,6,0,0,0,0,0,True,,/api/invoices;/api/reports;/api/settings,,,,,
b05_v1_vs_v2_stays_literal,bug1_sibling_resources,GET,0,0,6,6,0,0,0,0,0,True,,/api/v1/employees;/api/v2/employees,,,,,
c01_contract_vs_salary,bug2_cascade_leak,POST,3,3,9,9,0,3,3,0,1,True,,/hr/employees/{employee_id}/contract;/hr/employees/{employee_id}/salary,,,,,
c02_cancel_vs_refund,bug2_cascade_leak,POST,3,3,9,9,0,3,3,0,1,True,,/shop/orders/{order_id}/cancel;/shop/orders/{order_id}/refund,,,,,
c03_checkout_vs_clear,bug2_cascade_leak,POST,3,3,9,9,0,3,3,0,1,True,,/shop/carts/{cart_id}/checkout;/shop/carts/{cart_id}/clear,,,,,
c04_activate_vs_suspend,bug2_cascade_leak,POST,3,3,9,9,0,3,3,0,1,True,,/auth/users/{user_id}/activate;/auth/users/{user_id}/suspend,,,,,
d01_department_employee_2level,nested_multilevel,GET,6,6,9,9,0,6,6,0,2,True,,/hr/departments/{department_id}/employees/{employee_id},,,,,
d02_org_team_member_3level,nested_multilevel,GET,9,9,9,9,0,9,9,0,3,True,,/orgs/{resource_id}/teams/{resource_id}/members/{resource_id},,,,,
d03_shop_cart_item,nested_multilevel,GET,6,6,9,9,0,6,6,0,2,True,,/shop/carts/{cart_id}/items/{resource_id},,,,,
d04_hr_dept_employee_contract,nested_multilevel,GET,4,4,8,8,0,4,4,0,2,True,,/hr/departments/{department_id}/employees/{employee_id}/contract,,,,,
e01_single_uuid,single_observation,GET,1,1,2,2,0,1,1,0,1,True,,/api/sessions/{session_id},,,,,
e02_single_prefixed_known,single_observation,GET,1,1,2,2,0,1,1,0,1,True,,/hr/employees/{employee_id},,,,,
e03_single_prefixed_unknown_prefix,single_observation,GET,1,1,2,2,0,1,1,0,1,True,,/api/widgets/{resource_id},True,False,False,,
e04_single_short_hex,single_observation,GET,1,1,2,2,0,1,1,0,1,True,,/api/webhooks/{webhook_id},,,,,
f01_unknown_prefix_repeated_3word,unknown_prefix,GET,3,3,6,6,0,3,3,0,1,True,,/api/widgets/{resource_id},,,,,
f02_unknown_prefix_2part,unknown_prefix,GET,2,2,4,4,0,2,2,0,1,True,,/api/gadgets/{resource_id},,,,,
g01_payload_match_response,payload_naming,GET,1,1,2,2,0,1,1,0,1,True,,/api/webhooks/{hook_id},,,,,
g02_payload_match_request,payload_naming,POST,1,1,3,3,0,1,1,0,1,True,,/hr/employees/{employee_id}/contract,,,,,
h01_status_enum_stays_literal,accepted_tradeoff,GET,0,0,9,9,0,0,0,0,0,True,,/api/workflows/active;/api/workflows/archived;/api/workflows/pending,,,,,
h02_year_pure_number_still_detected,accepted_tradeoff,GET,3,3,6,6,0,3,3,0,1,True,,/api/reports/{report_id},,,,,
h03_slug_pure_no_marker,accepted_tradeoff,GET,0,0,9,9,0,0,0,0,0,True,,/blog/posts/astuces-python-avancees;/blog/posts/guide-complet-normalisation;/blog/posts/mon-titre-darticle,,,,,
i01_details_suffix_stays_fixed,no_over_detection,GET,3,3,9,9,0,0,0,0,1,True,,/api/orders/{order_id}/details,,,,,
i02_reviews_suffix_stays_fixed,no_over_detection,GET,2,2,6,6,0,0,0,0,1,True,,/shop/products/{product_id}/reviews,,,,,
i03_items_suffix_multi_id,no_over_detection,GET,3,3,9,9,0,0,0,0,1,True,,/shop/carts/{cart_id}/items,,,,,
j01_v1_excluded_by_static_predecessor,static_segments,GET,0,0,9,9,0,0,0,0,0,True,,/api/v1/employees;/api/v1/orders;/api/v1/products,,,,,
j02_me_shortcut_stays_literal,static_segments,GET,0,0,4,4,0,0,0,0,0,True,,/api/users/me/profile,,,,,
k01_group_llm_real_trigger,confidence_gate_boundary,GET,2,2,4,4,0,0,0,0,1,True,,/hr/positions/{position_id},True,False,False,,
l01_month_vs_id,palier2_false_positive_targeting,GET,1,3,0,0,0,0,0,0,1,False,,/api/events/february;/api/events/january;/api/events/{event_id},,,,,
l02_boolean_flag_stays_literal,palier2_false_positive_targeting,GET,0,0,6,6,0,0,0,0,0,True,,/api/reports/false;/api/reports/true,,,,,
l03_single_char_repeated,palier2_false_positive_targeting,GET,0,0,9,9,0,0,0,0,0,True,,/api/orders/a;/api/orders/b;/api/orders/c,,,,,
m01_double_slash,palier2_noisy,GET,1,1,2,2,0,0,0,0,1,True,,/api/orders/{order_id},,,,,
m02_trailing_slash,palier2_noisy,GET,1,1,2,2,0,0,0,0,1,True,,/api/orders/{order_id},,,,,
m03_uppercase_uuid,palier2_noisy,GET,1,1,2,2,0,0,0,0,1,True,,/api/sessions/{session_id},,,,,
m04_accented_slug,palier2_noisy,GET,0,2,4,4,0,0,0,0,0,False,,/blog/posts/café-du-matin-42;/blog/posts/déjà-vu-17,,,,,
m05_leading_zeros,palier2_noisy,GET,2,2,4,4,0,0,0,0,1,True,,/api/invoices/{invoice_id},,,,,
m06_dotted_segment,palier2_noisy,GET,1,1,2,2,0,0,0,0,1,True,,/api/files/{file_id},,,,,
m07_query_like_suffix,palier2_noisy,GET,0,1,2,2,0,0,0,0,0,False,,/api/orders/123?ref=email,,,,,
m08_encoded_space_slug,palier2_noisy,GET,0,1,2,2,0,0,0,0,0,False,,/blog/posts/hello%20world-88,,,,,
m09_deep_nesting_6_levels,palier2_noisy,GET,1,1,5,5,0,0,0,0,1,True,,/org/acme/dept/hr/employees/{employee_id},,,,,
m10_short_single_char_resource,palier2_noisy,GET,2,2,4,4,0,0,0,0,1,True,,/api/x/{x_id},,,,,
m11_mixed_language_resource,palier2_noisy,GET,2,2,4,4,0,0,0,0,1,True,,/api/produits/{produit_id},,,,,
m12_versioned_dotted_id,palier2_noisy,GET,2,2,4,4,0,0,0,0,1,True,,/api/releases/{release_id},,,,,
m13_slug_prefixed_uuid,palier2_noisy,GET,0,1,2,2,0,0,0,0,0,False,,/blog/posts/article_550e8400-e29b-41d4-a716-446655440000,,,,,
m14_duplicate_value_different_positions,palier2_noisy,GET,2,2,3,3,0,0,0,0,2,True,,/api/matches/{matche_id}/vs/{v_id},,,,,
m15_case_sensitive_prefix_mixed,palier2_noisy,GET,2,2,4,4,0,0,0,0,1,True,,/api/employees/{employee_id},,,,,
m16_sha256_hash,palier2_noisy,GET,1,1,2,2,0,0,0,0,1,True,,/api/commits/{commit_id},,,,,
m17_base64_token,palier2_noisy,GET,0,1,2,2,0,0,0,0,0,False,,/api/exports/ywjjzgvmz2hpams=,,,,,
m18_ipv4_segment,palier2_noisy,GET,0,1,2,2,0,0,0,0,0,False,,/api/devices/192.168.1.1,,,,,
m19_datetime_with_millis,palier2_noisy,GET,1,1,2,2,0,0,0,0,1,True,,/api/logs/{log_id},,,,,
m20_composite_three_part,palier2_noisy,GET,0,1,2,2,0,0,0,0,0,False,,/reports/lines/12_34_56,,,,,
