id,category,method,id_hits,id_total,fixed_hits,fixed_total,name_hits,name_total,consistency_violations,consistency_positions,passed,leaked_names,sample_templates
a22_slug_id_prefix,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/blog/posts/{post_id}
a23_sku_code,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/shop/products/{sku}
a24_hex_0x,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/chain/transactions/{transaction_id}
a25_composite_numeric,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/reports/lines/{line_id}
a26_stripe_short_suffix,regex_forms,GET,2,2,4,4,2,2,0,1,True,,/billing/charges/{customer_id}
a27_version_beyond_v20,regex_forms,GET,0,0,6,6,0,0,0,0,True,,/api/v21/employees;/api/v99/employees
b01_hr_employees_vs_departments,bug1_sibling_resources,POST,0,0,8,8,0,0,0,0,True,,/api/v1/hr/departments;/api/v1/hr/employees
b02_shop_products_orders_carts,bug1_sibling_resources,GET,0,0,12,12,0,0,0,0,True,,/api/v1/shop/carts;/api/v1/shop/orders;/api/v1/shop/products
b03_auth_login_logout_register,bug1_sibling_resources,POST,0,0,12,12,0,0,0,0,True,,/api/v1/auth/login;/api/v1/auth/logout;/api/v1/auth/register
b04_generic_reports_invoices_settings,bug1_sibling_resources,GET,0,0,6,6,0,0,0,0,True,,/api/invoices;/api/reports;/api/settings
b05_v1_vs_v2_stays_literal,bug1_sibling_resources,GET,0,0,6,6,0,0,0,0,True,,/api/v1/employees;/api/v2/employees
c01_contract_vs_salary,bug2_cascade_leak,POST,3,3,9,9,3,3,0,1,True,,/hr/employees/{employee_id}/contract;/hr/employees/{employee_id}/salary
c02_cancel_vs_refund,bug2_cascade_leak,POST,3,3,9,9,3,3,0,1,True,,/shop/orders/{order_id}/cancel;/shop/orders/{order_id}/refund
c03_checkout_vs_clear,bug2_cascade_leak,POST,3,3,9,9,3,3,0,1,True,,/shop/carts/{cart_id}/checkout;/shop/carts/{cart_id}/clear
c04_activate_vs_suspend,bug2_cascade_leak,POST,3,3,9,9,3,3,0,1,True,,/auth/users/{user_id}/activate;/auth/users/{user_id}/suspend
d01_department_employee_2level,nested_multilevel,GET,6,6,9,9,6,6,0,2,True,,/hr/departments/{department_id}/employees/{employee_id}
d02_org_team_member_3level,nested_multilevel,GET,9,9,9,9,9,9,0,3,True,,/orgs/{resource_id}/teams/{resource_id}/members/{resource_id}
d03_shop_cart_item,nested_multilevel,GET,6,6,9,9,6,6,0,2,True,,/shop/carts/{cart_id}/items/{resource_id}
d04_hr_dept_employee_contract,nested_multilevel,GET,4,4,8,8,4,4,0,2,True,,/hr/departments/{department_id}/employees/{employee_id}/contract
e01_single_uuid,single_observation,GET,1,1,2,2,1,1,0,1,True,,/api/sessions/{session_id}
e02_single_prefixed_known,single_observation,GET,1,1,2,2,1,1,0,1,True,,/hr/employees/{employee_id}
e03_single_prefixed_unknown_prefix,single_observation,GET,1,1,2,2,1,1,0,1,True,,/api/widgets/{resource_id}
e04_single_short_hex,single_observation,GET,1,1,2,2,1,1,0,1,True,,/api/webhooks/{webhook_id}
f01_unknown_prefix_repeated_3word,unknown_prefix,GET,3,3,6,6,3,3,0,1,True,,/api/widgets/{resource_id}
f02_unknown_prefix_2part,unknown_prefix,GET,2,2,4,4,2,2,0,1,True,,/api/gadgets/{resource_id}
g01_payload_match_response,payload_naming,GET,1,1,2,2,1,1,0,1,True,,/api/webhooks/{hook_id}
g02_payload_match_request,payload_naming,POST,1,1,3,3,1,1,0,1,True,,/hr/employees/{employee_id}/contract
h01_status_enum_stays_literal,accepted_tradeoff,GET,0,0,9,9,0,0,0,0,True,,/api/workflows/active;/api/workflows/archived;/api/workflows/pending
h02_year_pure_number_still_detected,accepted_tradeoff,GET,3,3,6,6,3,3,0,1,True,,/api/reports/{report_id}
h03_slug_pure_no_marker,accepted_tradeoff,GET,0,0,9,9,0,0,0,0,True,,/blog/posts/astuces-python-avancees;/blog/posts/guide-complet-normalisation;/blog/posts/mon-titre-darticle
i01_details_suffix_stays_fixed,no_over_detection,GET,3,3,9,9,0,0,0,1,True,,/api/orders/{order_id}/details
i02_reviews_suffix_stays_fixed,no_over_detection,GET,2,2,6,6,0,0,0,1,True,,/shop/products/{product_id}/reviews
i03_items_suffix_multi_id,no_over_detection,GET,3,3,9,9,0,0,0,1,True,,/shop/carts/{cart_id}/items
j01_v1_excluded_by_static_predecessor,static_segments,GET,0,0,9,9,0,0,0,0,True,,/api/v1/employees;/api/v1/orders;/api/v1/products
j02_me_shortcut_stays_literal,static_segments,GET,0,0,4,4,0,0,0,0,True,,/api/users/me/profile
